Name,Team,KaD,MK,Opk,Clt_won,Bmb_act,Trading,Eff_flash,Utility,Map,Year,Map_Type,Event,Self,Teamplay,Support,Rating,Placement
gla1ve,Astralis,1.068,8,0.722,0,0.492,4.2,7.282,1.7,de_train,31-08-2019,BO1,StarLadder Major Berlin 2019,9.068,1.214,13.182,1.37,1st
Brehze,NRG,1.389,10,0.833,0,0.221,6.8,5.088,1.17,de_train,31-08-2019,BO1,StarLadder Major Berlin 2019,11.389,1.054,13.058,1.407,3-4th
device,Astralis,1.459,9,1.095,1,0.35,8,5.918,1.05,de_train,31-08-2019,BO1,StarLadder Major Berlin 2019,10.459,2.445,14.968,1.445,1st
dupreeh,Astralis,0.921,5,0.958,0,0.221,2.6,3.581,0.96,de_train,31-08-2019,BO1,StarLadder Major Berlin 2019,5.921,1.179,7.141,1.154,1st
CeRq,NRG,1.579,9,1.7,1,0.35,5.4,5.767,0.82,de_train,31-08-2019,BO1,StarLadder Major Berlin 2019,10.579,3.05,11.987,1.409,3-4th
Xyp9x,Astralis,1.368,12,0.833,1,1.226,6.2,5.62,1.44,de_train,31-08-2019,BO1,StarLadder Major Berlin 2019,13.368,3.059,13.26,1.473,1st
tarik,NRG,1.175,10,0.85,0,0,6.8,5.587,1.26,de_train,31-08-2019,BO1,StarLadder Major Berlin 2019,11.175,0.85,13.647,1.409,3-4th
Ethan,NRG,0.841,2,0.571,0,0.35,5.4,6.663,1.27,de_train,31-08-2019,BO1,StarLadder Major Berlin 2019,2.841,0.921,13.333,1.233,3-4th
CeRq,NRG,2,2,1.4,0,0.105,2.6,0.478,0.16,de_nuke,31-08-2019,BO1,StarLadder Major Berlin 2019,4,1.505,3.238,0.942,3-4th
Magisk,Astralis,0.611,0,0.5,0,0.105,1.4,0.476,0.22,de_nuke,31-08-2019,BO1,StarLadder Major Berlin 2019,0.611,0.605,2.096,0.52,1st
dupreeh,Astralis,0.278,0,0,0,0,1.6,0.269,0.25,de_nuke,31-08-2019,BO1,StarLadder Major Berlin 2019,0.278,0,2.119,0.38,1st
device,Astralis,0.389,2,1,0,0,2.4,0.197,0.26,de_nuke,31-08-2019,BO1,StarLadder Major Berlin 2019,2.389,1,2.857,0.796,1st
gla1ve,Astralis,0.444,1,0.333,0,0.105,1.2,2.981,0.43,de_nuke,31-08-2019,BO1,StarLadder Major Berlin 2019,1.444,0.438,4.611,0.812,1st
tarik,NRG,1.75,4,1.5,0,0.105,3,0.546,0.34,de_nuke,31-08-2019,BO1,StarLadder Major Berlin 2019,5.75,1.605,3.886,1.051,3-4th
Ethan,NRG,2.857,4,1,0,0.221,2.6,0.558,0.25,de_nuke,31-08-2019,BO1,StarLadder Major Berlin 2019,6.857,1.221,3.408,1.06,3-4th
stanislaw,NRG,3.857,6,1,0,0.221,2.8,0.998,0.44,de_nuke,31-08-2019,BO1,StarLadder Major Berlin 2019,9.857,1.221,4.238,1.185,3-4th
Xyp9x,Astralis,1,4,1.5,1,0.35,1.8,0.602,0.41,de_nuke,31-08-2019,BO1,StarLadder Major Berlin 2019,5,2.85,2.812,1.028,1st
Brehze,NRG,2.5,5,0.333,0,0,2.6,1.133,0.32,de_nuke,31-08-2019,BO1,StarLadder Major Berlin 2019,7.5,0.333,4.053,1.075,3-4th
device,Astralis,1.455,9,0.833,0,0,2.8,3.417,0.63,de_mirage,22-02-2019,BO1,IEM Katowice 2019,10.455,0.833,6.847,1.259,1st
Magisk,Astralis,0.96,4,0.429,0,0,5,1.556,0.65,de_mirage,22-02-2019,BO1,IEM Katowice 2019,4.96,0.429,7.206,1.1,1st
jks,Renegades,1.217,9,1.167,0,0,6.6,2.986,0.65,de_mirage,22-02-2019,BO1,IEM Katowice 2019,10.217,1.167,10.236,1.335,5-8th
